"item","category","retrieved","study_duration","reinstatement_gain","study_duration_centered"
"item01","face",TRUE,2.5,0.505,-0.25
"item02","face",TRUE,2,0.415,-0.75
"item03","face",TRUE,3.5,0.685,0.75
"item04","face",TRUE,3.5,0.685,0.75
"item05","face",TRUE,3,0.595,0.25
"item06","face",TRUE,3,0.595,0.25
"item07","face",TRUE,3,0.595,0.25
"item08","face",TRUE,3.5,0.685,0.75
"item09","face",FALSE,2,NA,-0.75
"item10","face",FALSE,4,NA,1.25
"item11","face",FALSE,2,NA,-0.75
"item12","face",FALSE,2,NA,-0.75
"item13","scene",TRUE,2.5,0.505,-0.25
"item14","scene",TRUE,3,0.595,0.25
"item15","scene",TRUE,1.5,0.325,-1.25
"item16","scene",TRUE,3,0.595,0.25
"item17","scene",TRUE,3,0.595,0.25
"item18","scene",TRUE,3.5,0.685,0.75
"item19","scene",TRUE,2.5,0.505,-0.25
"item20","scene",TRUE,2,0.415,-0.75
"item21","scene",FALSE,2,NA,-0.75
"item22","scene",FALSE,3,NA,0.25
"item23","scene",FALSE,3.5,NA,0.75
"item24","scene",FALSE,3,NA,0.25
"item25","object",TRUE,3.5,0.685,0.75
"item26","object",TRUE,3.5,0.685,0.75
"item27","object",TRUE,3.5,0.685,0.75
"item28","object",TRUE,2,0.415,-0.75
"item29","object",TRUE,2,0.415,-0.75
"item30","object",TRUE,1.5,0.325,-1.25
"item31","object",TRUE,1.5,0.325,-1.25
"item32","object",TRUE,3.5,0.685,0.75
"item33","object",FALSE,3,NA,0.25
"item34","object",FALSE,3,NA,0.25
"item35","object",FALSE,1.5,NA,-1.25
"item36","object",FALSE,4,NA,1.25
