"item","category","probe","old","source_item"
"item01","face","ret_item01",TRUE,"item01"
"item02","face","ret_item02",TRUE,"item02"
"item03","face","ret_item03",TRUE,"item03"
"item04","face","ret_item04",TRUE,"item04"
"item05","face","ret_item05",TRUE,"item05"
"item06","face","ret_item06",TRUE,"item06"
"item07","face","ret_item07",TRUE,"item07"
"item08","face","ret_item08",TRUE,"item08"
NA,"face","ret_lure01",FALSE,NA
NA,"face","ret_lure02",FALSE,NA
"item13","scene","ret_item13",TRUE,"item13"
"item14","scene","ret_item14",TRUE,"item14"
"item15","scene","ret_item15",TRUE,"item15"
"item16","scene","ret_item16",TRUE,"item16"
"item17","scene","ret_item17",TRUE,"item17"
"item18","scene","ret_item18",TRUE,"item18"
"item19","scene","ret_item19",TRUE,"item19"
"item20","scene","ret_item20",TRUE,"item20"
NA,"scene","ret_lure03",FALSE,NA
NA,"scene","ret_lure04",FALSE,NA
"item25","object","ret_item25",TRUE,"item25"
"item26","object","ret_item26",TRUE,"item26"
"item27","object","ret_item27",TRUE,"item27"
"item28","object","ret_item28",TRUE,"item28"
"item29","object","ret_item29",TRUE,"item29"
"item30","object","ret_item30",TRUE,"item30"
"item31","object","ret_item31",TRUE,"item31"
"item32","object","ret_item32",TRUE,"item32"
NA,"object","ret_lure05",FALSE,NA
NA,"object","ret_lure06",FALSE,NA
