"quantity","value"
"encoding effects (left axis)","36"
"retrieval effects (right axis)","30"
"encoded items never retrieved","12"
"retrieval probes never encoded","6"
"study-test cycles (runs)","3"
"TRs per run","300"
"design columns per run","70"
"residual df per run","230"
"voxels","90"
"regionA voxels","40"
"regionB voxels","30"
"regionC voxels","20"
"simulated subjects","12"
"cross-run directed edges","6"
"same-run directed edges","3"
"reinstatement intercept (rho0)","0.55"
"reinstatement slope (rho1, per s)","0.18"
"study duration levels (s)","1.5-4"
"study duration centering constant (s)","2.75"
"same-run item state sd","0.5"
