"region","edges","cell_class","cells","planted_mean"
"regionA","cross","match",24,0.880794
"regionA","cross","control_same_category",336,0.353061
"regionA","cross","control_other_category",720,-0.036158
"regionA","same","match",24,1.124938
"regionA","same","control_same_category",336,0.354743
"regionA","same","control_other_category",720,-0.036882
"regionB","cross","match",24,1.436984
"regionB","cross","control_same_category",336,1.439363
"regionB","cross","control_other_category",720,-0.064225
"regionB","same","match",24,1.693213
"regionB","same","control_same_category",336,1.437732
"regionB","same","control_other_category",720,-0.064049
"regionC","cross","match",24,0.006202
"regionC","cross","control_same_category",336,-0.002426
"regionC","cross","control_other_category",720,1.3e-05
"regionC","same","match",24,0.253704
"regionC","same","control_same_category",336,0.002589
"regionC","same","control_other_category",720,0.000641
