"plan","query","region","readout","planted","estimate","se","bias","bias_t","bias_p","t_vs_zero","p_vs_zero","ci_low","ci_high"
"cross","contrast_all","regionA","match - control, all eligible pairs",0.79311,0.793728,0.007924,0.000619,0.078054,0.939187,100.166179,0,0.776288,0.811169
"cross","contrast_all","regionB","match - control, all eligible pairs",1.022795,1.028097,0.009852,0.005302,0.538214,0.60115,104.356769,0,1.006413,1.04978
"cross","contrast_all","regionC","match - control, all eligible pairs",0.006965,0.005446,0.005093,-0.001519,-0.298226,0.771089,1.069427,0.307783,-0.005763,0.016655
"cross","contrast_category","regionA","match - control, category-matched pairs",0.527733,0.527158,0.008491,-0.000575,-0.067673,0.947261,62.080871,0,0.508469,0.545848
"cross","contrast_category","regionB","match - control, category-matched pairs",-0.002379,-0.007175,0.00669,-0.004797,-0.717031,0.488301,-1.072634,0.306404,-0.021899,0.007548
"cross","contrast_category","regionC","match - control, category-matched pairs",0.008628,0.006201,0.004998,-0.002428,-0.485741,0.636682,1.240708,0.240524,-0.004799,0.0172
"cross","level_baseline","regionA","mean coupling over every eligible pair",0.105309,0.106679,0.004411,0.00137,0.310553,0.761945,24.184845,0,0.09697,0.116387
"cross","level_baseline","regionB","mean coupling over every eligible pair",0.436918,0.436254,0.008782,-0.000664,-0.075654,0.941053,49.67432,0,0.416924,0.455583
"cross","level_baseline","regionC","mean coupling over every eligible pair",-0.000608,0.001165,0.003659,0.001774,0.484793,0.637333,0.318511,0.756063,-0.006888,0.009218
"cross","level_control_all","regionA","mean control coupling (all eligible)",0.087684,0.089041,0.004389,0.001356,0.309,0.763095,20.288739,0,0.079381,0.0987
"cross","level_control_all","regionB","mean control coupling (all eligible)",0.414189,0.413407,0.008847,-0.000782,-0.08842,0.931132,46.728922,0,0.393935,0.432879
"cross","level_control_all","regionC","mean control coupling (all eligible)",-0.000763,0.001044,0.003664,0.001807,0.493341,0.631473,0.285041,0.780908,-0.00702,0.009108
"cross","level_control_category","regionA","mean control coupling (category-matched)",0.353061,0.355611,0.004767,0.002549,0.534825,0.603414,74.605922,0,0.34512,0.366102
"cross","level_control_category","regionB","mean control coupling (category-matched)",1.439363,1.44868,0.007796,0.009317,1.195088,0.257183,185.826851,0,1.431521,1.465838
