relpath,role,tier,source,bytes,md5,sha256,url,s3_uri
dataset_description.json,dataset-metadata,core,raw,2112,03ce99f62a0d38fe005c41da4e9ab10a,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/dataset_description.json,s3://openneuro.org/ds003745/dataset_description.json
participants.tsv,dataset-metadata,core,raw,1079,0921f72fdbbd08c351badee1fe9e7a0b,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/participants.tsv,s3://openneuro.org/ds003745/participants.tsv
participants.json,dataset-metadata,core,raw,405,dae342e287f2946fdada1360169f6762,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/participants.json,s3://openneuro.org/ds003745/participants.json
README,dataset-metadata,core,raw,2246,888313158b27b2807ec04e318f882c7c,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/README,s3://openneuro.org/ds003745/README
CHANGES,dataset-metadata,core,raw,698,1aee44c9ad38f5c46058bb435a53e955,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/CHANGES,s3://openneuro.org/ds003745/CHANGES
task-trust_bold.json,dataset-metadata,core,raw,1663,87a4f7e191656cd1974a6ba46962a9d0,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/task-trust_bold.json,s3://openneuro.org/ds003745/task-trust_bold.json
task-sharedreward_bold.json,dataset-metadata,core,raw,1670,13d47e88e235bb97719615aeed7d14f1,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/task-sharedreward_bold.json,s3://openneuro.org/ds003745/task-sharedreward_bold.json
derivatives/fmriprep/dataset_description.json,derivative-metadata,core,fmriprep,778,53f80b7268850ecced2e737f36490400,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:dataset_description.json,s3://openneuro.org/ds003745/derivatives/fmriprep/dataset_description.json
derivatives/fmriprep/sub-104/anat/sub-104_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,anat-T1w-mni,core,fmriprep,8143299,5e00d774f5ad280ce93c5c5fbcf5da84,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-104:anat:sub-104_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-104/anat/sub-104_space-MNI152NLin2009cAsym_desc-preproc_T1w.nii.gz
derivatives/fmriprep/sub-104/anat/sub-104_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,anat-mask-mni,core,fmriprep,56940,b6b4be4428189a8f7bd4cce4d15e6c5f,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-104:anat:sub-104_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-104/anat/sub-104_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
