"subject","group","n_native","n_group_nodes","n_placed_rows","support_mean_nodes","fingerprint_similarity_sd","sink_territory","sink_territory_PF","sink_identical_max_gap","all_sink_rows","displacement_median_A","displacement_p90_A","displacement_max_A","displacement_masswt_mean_A","displacement_median_F","displacement_p90_F","displacement_max_F","displacement_masswt_mean_F","group_node_mass_total","group_node_effective_A","group_node_effective_F","group_node_mass_max_A","group_node_mass_max_F","group_node_mass_min_A","group_node_mass_min_F","group_nodes_with_zero_mass_A","group_nodes_with_zero_mass_F","entropy_mean_A","entropy_mean_F","perplexity_mean_F","exp_mean_entropy_F"
"sub-104","younger",63860,1241,50744,5.47954437963109,0.56874807717565,0.205386783589101,0.205386783589101,5.55111512312578e-16,13116,5.29583402307889,7.38661255244919,8.91900000000001,5.20152134061455,6.72625077039031,9.85215895195616,11.88644772583,6.63797183272122,50744,1160.12727659375,939.435141400368,87,134.242669756362,17,4.54780374244826,0,0,0,0.76649390972856,2.42020216697523,2.15220717747932
"sub-105","younger",65332,1241,50815,5.47468267243924,0.576899248093973,0.222203514357436,0.222203514357436,5.55111512312578e-16,14517,5.29583402307889,7.38661255244919,8.91900000000001,5.20143153169475,6.69169286829759,9.79494586190836,11.8899383228578,6.60345434671242,50815,1161.05916079017,1064.0402871697,87,119.131158454608,20,8.6774421756838,0,0,0,0.78182814766094,2.46018397594302,2.18546396651549
"sub-107","younger",66772,1241,51291,5.45074184554795,0.600072827616303,0.231848679087042,0.231848679087042,5.55111512312578e-16,15481,5.29583402307889,7.38661255244919,8.91900000000001,5.21482959366817,6.68211135005514,9.7967654207195,11.8882185279633,6.59368582568999,51291,1161.89421055072,1023.75054954349,87,135.549100080985,22,2.99706330472272,0,0,0,0.767687177105121,2.43214310008544,2.15477686895139
"sub-108","younger",60443,1241,49124,5.56613875091605,0.603105455010909,0.187267342785765,0.187267342785765,4.44089209850063e-16,11319,5.29583402307889,7.38661255244919,8.91900000000001,5.15426798141393,6.67195640368691,9.83879082473171,11.8865966236738,6.59849310868218,49124,1155.75142866448,995.214202504776,87,139.340173802703,14,4.71521944251347,0,0,0,0.789371256150919,2.500482986818,2.20201148973662
"sub-112","younger",60938,1241,49516,5.54667178285807,0.599922196472282,0.187436410778168,0.187436410778168,5.55111512312578e-16,11422,5.29583402307889,7.38661255244919,8.91900000000001,5.16482205059625,6.64209470597474,9.80744358742572,11.8909166395503,6.55938200810826,49516,1158.14371588984,1026.08131745868,87,122.888319537689,15,7.34738691632916,0,0,0,0.79355764699837,2.49838516903941,2.21124929352014
"sub-113","younger",62941,1241,51304,5.44947762357711,0.603379482396533,0.184887434263834,0.184887434263834,5.55111512312578e-16,11637,5.29583402307889,7.38661255244919,8.91900000000001,5.21895309593241,6.70104593849909,9.79793077405962,11.8894336697829,6.61285889852054,51304,1162.48993724914,1051.02615340574,87,119.481078356561,19,7.13182132085687,0,0,0,0.772551155419207,2.44657115312686,2.16528318745289
"sub-111","older",62926,1241,51489,5.423818679718,0.537059659699551,0.181753170390618,0.181753170390618,5.55111512312578e-16,11437,5.29583402307889,7.38661255244919,8.91900000000001,5.23305865485848,6.64284284741146,9.6702972923688,11.8812024903717,6.53695235521265,51489,1156.62684791443,1065.96302005726,87,111.754813512387,18,7.33488627993526,0,0,0,0.817785020644469,2.55396017237786,2.26547629284327
"sub-127","older",69867,1241,52264,5.39495637532527,0.606709793710327,0.251950133825697,0.251950133825697,5.55111512312578e-16,17603,5.29583402307889,7.3866125524492,8.91900000000001,5.24810187270865,6.72417968758088,9.85721728070418,11.8886452000095,6.63783441037729,52264,1162.1901370278,997.694079495551,87,146.234444733387,19,6.07028459745692,0,0,0,0.757059466435105,2.40674865216305,2.13199778300153
"sub-128","older",68333,1241,52198,5.39842522702019,0.583617862000773,0.236123103039527,0.236123103039527,5.55111512312578e-16,16135,5.29583402307889,7.3866125524492,8.91900000000001,5.2471817417833,6.67116036047485,9.81715465541304,11.8904501923127,6.5756704649491,52198,1162.0432568911,990.04869844393,87,137.939071258478,17,7.08524182835211,0,0,0,0.791931822582393,2.51511225352176,2.20765711134893
"sub-129","older",68218,1241,52264,5.39317694780346,0.592189406243121,0.233867894104195,0.233867894104195,4.44089209850063e-16,15954,5.29583402307889,7.3866125524492,8.91900000000001,5.24943732377166,6.73488457924523,9.79440134797884,11.8900179971308,6.63991090977609,52264,1162.56408449206,1032.2010124752,87,147.792290691998,17,4.90374057712581,0,0,0,0.779975447024929,2.47602156618493,2.18141870452159
"sub-130","older",65782,1241,51262,5.45446919745621,0.61617804403378,0.2207290748229,0.2207290748229,5.55111512312578e-16,14520,5.29583402307889,7.38661255244919,8.91900000000001,5.21541798057706,6.68456876813164,9.86233673854161,11.8905129226521,6.60341037634477,51262,1162.16725207132,966.07651804559,87,158.824142902165,21,8.81838721983577,0,0,0,0.780334690457163,2.4963673884761,2.18220250564342
"sub-131","older",66836,1241,52013,5.41264683829043,0.512414875101832,0.221781674546652,0.221781674546652,5.55111512312578e-16,14823,5.29583402307889,7.3866125524492,8.91900000000001,5.2385064082658,6.51716439046781,9.53719472934101,11.8878506411875,6.41575915561586,52013,1165.47363076829,1084.4580954598,87,107.081458543977,26,8.62070655697488,0,0,0,0.85081683846821,2.64224968704941,2.34155874622477
