"frame","measurement","pair","left","right","crossform"
"whole","whole_brain",1,"cond1_faceA","cond2_faceB",0.00344663554276556
"whole","whole_brain",2,"cond1_faceA","cond3_houseA",0.265029169445236
"whole","whole_brain",3,"cond1_faceA","cond4_houseB",0.217497813645427
"whole","whole_brain",4,"cond1_faceA","cond5_toolA",0.36473365822618
"whole","whole_brain",5,"cond1_faceA","cond6_toolB",0.334888206619194
"whole","whole_brain",6,"cond2_faceB","cond3_houseA",0.198956418885453
"whole","whole_brain",7,"cond2_faceB","cond4_houseB",0.146567006513724
"whole","whole_brain",8,"cond2_faceB","cond5_toolA",0.257200348066278
"whole","whole_brain",9,"cond2_faceB","cond6_toolB",0.226377334644218
"whole","whole_brain",10,"cond3_houseA","cond4_houseB",-0.00442132114250717
"whole","whole_brain",11,"cond3_houseA","cond5_toolA",0.0757968836762863
"whole","whole_brain",12,"cond3_houseA","cond6_toolB",0.0926978555723801
"whole","whole_brain",13,"cond4_houseB","cond5_toolA",0.18060281680054
"whole","whole_brain",14,"cond4_houseB","cond6_toolB",0.161956212500458
"whole","whole_brain",15,"cond5_toolA","cond6_toolB",0.0323408098595816
"regions","roiA",1,"cond1_faceA","cond2_faceB",0.0441933374398414
"regions","roiA",2,"cond1_faceA","cond3_houseA",0.775772988293818
"regions","roiA",3,"cond1_faceA","cond4_houseB",0.56122407422742
"regions","roiA",4,"cond1_faceA","cond5_toolA",1.27978392506361
"regions","roiA",5,"cond1_faceA","cond6_toolB",1.28383647081185
"regions","roiA",6,"cond2_faceB","cond3_houseA",0.438885119968121
"regions","roiA",7,"cond2_faceB","cond4_houseB",0.336163884347401
"regions","roiA",8,"cond2_faceB","cond5_toolA",0.707586968398889
"regions","roiA",9,"cond2_faceB","cond6_toolB",0.689236106345509
"regions","roiA",10,"cond3_houseA","cond4_houseB",-0.0413308226563718
"regions","roiA",11,"cond3_houseA","cond5_toolA",0.395223983862729
"regions","roiA",12,"cond3_houseA","cond6_toolB",0.416185957390076
"regions","roiA",13,"cond4_houseB","cond5_toolA",0.470197120539533
"regions","roiA",14,"cond4_houseB","cond6_toolB",0.548611922365155
"regions","roiA",15,"cond5_toolA","cond6_toolB",0.0088698888203805
"regions","roiB",1,"cond1_faceA","cond2_faceB",0.0864502169134829
"regions","roiB",2,"cond1_faceA","cond3_houseA",-0.0326753167867606
"regions","roiB",3,"cond1_faceA","cond4_houseB",0.0476450728830211
"regions","roiB",4,"cond1_faceA","cond5_toolA",0.219160897855911
"regions","roiB",5,"cond1_faceA","cond6_toolB",0.288678968416965
"regions","roiB",6,"cond2_faceB","cond3_houseA",0.0332022880079941
"regions","roiB",7,"cond2_faceB","cond4_houseB",-0.03334700220447
"regions","roiB",8,"cond2_faceB","cond5_toolA",0.192521836593963
"regions","roiB",9,"cond2_faceB","cond6_toolB",0.162482586676552
"regions","roiB",10,"cond3_houseA","cond4_houseB",0.0224541440920421
"regions","roiB",11,"cond3_houseA","cond5_toolA",0.0902691090781157
"regions","roiB",12,"cond3_houseA","cond6_toolB",0.144853617266927
"regions","roiB",13,"cond4_houseB","cond5_toolA",0.165541587146071
"regions","roiB",14,"cond4_houseB","cond6_toolB",0.102129359350829
"regions","roiB",15,"cond5_toolA","cond6_toolB",0.0334645613149987
"regions","roiC",1,"cond1_faceA","cond2_faceB",-0.0173551596521373
"regions","roiC",2,"cond1_faceA","cond3_houseA",0.0423761244033525
"regions","roiC",3,"cond1_faceA","cond4_houseB",-0.0207503393107774
"regions","roiC",4,"cond1_faceA","cond5_toolA",0.0228121592740867
"regions","roiC",5,"cond1_faceA","cond6_toolB",-0.029789412608706
"regions","roiC",6,"cond2_faceB","cond3_houseA",0.0158370725651183
"regions","roiC",7,"cond2_faceB","cond4_houseB",0.0474403859605992
"regions","roiC",8,"cond2_faceB","cond5_toolA",-0.0099410832479009
"regions","roiC",9,"cond2_faceB","cond6_toolB",0.0310324439932757
"regions","roiC",10,"cond3_houseA","cond4_houseB",0.00876093070256252
"regions","roiC",11,"cond3_houseA","cond5_toolA",0.000180659258863212
"regions","roiC",12,"cond3_houseA","cond6_toolB",-0.00217543998146082
"regions","roiC",13,"cond4_houseB","cond5_toolA",0.113269040753047
"regions","roiC",14,"cond4_houseB","cond6_toolB",0.06069250528122
"regions","roiC",15,"cond5_toolA","cond6_toolB",0.00831489695804844
