"frame","measurement","term","crossform"
"whole","whole_brain","(Intercept)",0.01045537475328
"whole","whole_brain","category",0.117308067384136
"whole","whole_brain","animacy",0.123642802368297
"whole","whole_brain","nointercept:category",0.127763442137416
"whole","whole_brain","nointercept:animacy",0.123642802368297
"regions","roiA","(Intercept)",0.00391080120128354
"regions","roiA","category",0.45364394483809
"regions","roiA","animacy",0.301506446142703
"regions","roiB","(Intercept)",0.0474563074401746
"regions","roiB","category",0.0782421107703111
"regions","roiB","animacy",-0.0159897517800887
"regions","roiC","(Intercept)",-9.31106638420998e-05
"regions","roiC","category",0.0430848019917593
"regions","roiC","animacy",-0.0306145224492862
"regions","roiA","nointercept:category",0.457554746039373
"regions","roiA","nointercept:animacy",0.301506446142703
"regions","roiB","nointercept:category",0.125698418210486
"regions","roiB","nointercept:animacy",-0.0159897517800887
"regions","roiC","nointercept:category",0.0429916913279172
"regions","roiC","nointercept:animacy",-0.0306145224492862
