"quantity","rsatoolbox","crossform_same_fit"
"crossnobis RDM (15 pairs)","yes (calc_rdm_crossnobis)","yes, agrees to 3.77e-15"
"linear RSA coefficient (category)","yes (fit_regress / external OLS)","yes, one compiled query, agrees to 8.60e-16"
"signed contrast energy, face - house","no -- RDM entries are squared, unsigned","+0.230130"
"coherent energy (common spatial mode)","no","0.008804"
"configuration energy (pattern remainder)","no","0.198452"
"total energy = coherent + configuration","no","0.207256"
"coherence fraction","no","0.0425"
"coherent/configuration split of every RDM entry","no","yes, e.g. cond1_faceA|cond2_faceB: 0.006279 + -0.002832"
"analytic SE of one RDM entry","bootstrap / subject-level inference","0.029394 (plugin, cond1_faceA|cond2_faceB)"
"analytic SE of the RSA coefficient","bootstrap / subject-level inference","0.026697 (plugin) / 0.008601 (null)"
"refusal when the estimand is not admitted","no typed refusal channel","3 of 3 provoked refusals are classed conditions"
