"frame","measurement","quantity","value"
"whole","whole_brain","signed",0.230129986749364
"whole","whole_brain","coherent",0.00880380809035067
"whole","whole_brain","configuration",0.198452465432045
"whole","whole_brain","total",0.207256273522395
"whole","whole_brain","coherence_fraction",0.0424778847015184
"whole","whole_brain","crossnobis",0.207256273522395
"regions","roiA","signed",0.654635102633856
"regions","roiA","coherent",0.219422882404292
"regions","roiA","configuration",0.30787300560903
"regions","roiA","total",0.527295888013322
"regions","roiA","coherence_fraction",0.416128567266104
"regions","roiA","crossnobis",0.527295888013322
"regions","roiB","signed",0.0269671528573094
"regions","roiB","coherent",-0.0027759369483995
"regions","roiB","configuration",-0.0207438928280356
"regions","roiB","total",-0.0235198297764351
"regions","roiB","coherence_fraction",NA
"regions","roiB","crossnobis",-0.0235198297764351
"regions","roiC","signed",-0.164650231216946
"regions","roiC","coherent",0.00312241651346379
"regions","roiC","configuration",0.0202519516285031
"regions","roiC","total",0.0233743681419669
"regions","roiC","coherence_fraction",0.133582927012163
"regions","roiC","crossnobis",0.0233743681419669
"whole","whole_brain","rdm_total[cond1_faceA|cond2_faceB]",0.00344663554276556
"whole","whole_brain","rdm_coherent[cond1_faceA|cond2_faceB]",0.00627874313220954
"whole","whole_brain","rdm_configuration[cond1_faceA|cond2_faceB]",-0.00283210758944399
"whole","whole_brain","rdm_total[cond1_faceA|cond3_houseA]",0.265029169445236
"whole","whole_brain","rdm_coherent[cond1_faceA|cond3_houseA]",0.0157718641724782
"whole","whole_brain","rdm_configuration[cond1_faceA|cond3_houseA]",0.249257305272758
"whole","whole_brain","rdm_total[cond1_faceA|cond4_houseB]",0.217497813645427
"whole","whole_brain","rdm_coherent[cond1_faceA|cond4_houseB]",0.0208591071360819
"whole","whole_brain","rdm_configuration[cond1_faceA|cond4_houseB]",0.196638706509345
"whole","whole_brain","rdm_total[cond1_faceA|cond5_toolA]",0.36473365822618
"whole","whole_brain","rdm_coherent[cond1_faceA|cond5_toolA]",0.071388359665266
"whole","whole_brain","rdm_configuration[cond1_faceA|cond5_toolA]",0.293345298560914
"whole","whole_brain","rdm_total[cond1_faceA|cond6_toolB]",0.334888206619194
"whole","whole_brain","rdm_coherent[cond1_faceA|cond6_toolB]",0.0704543187473694
"whole","whole_brain","rdm_configuration[cond1_faceA|cond6_toolB]",0.264433887871825
"whole","whole_brain","rdm_total[cond2_faceB|cond3_houseA]",0.198956418885453
"whole","whole_brain","rdm_coherent[cond2_faceB|cond3_houseA]",0.000555555158437514
"whole","whole_brain","rdm_configuration[cond2_faceB|cond3_houseA]",0.198400863727015
"whole","whole_brain","rdm_total[cond2_faceB|cond4_houseB]",0.146567006513724
"whole","whole_brain","rdm_coherent[cond2_faceB|cond4_houseB]",0.00316464968261839
"whole","whole_brain","rdm_configuration[cond2_faceB|cond4_houseB]",0.143402356831106
"whole","whole_brain","rdm_total[cond2_faceB|cond5_toolA]",0.257200348066278
"whole","whole_brain","rdm_coherent[cond2_faceB|cond5_toolA]",0.0294463818857559
"whole","whole_brain","rdm_configuration[cond2_faceB|cond5_toolA]",0.227753966180522
"whole","whole_brain","rdm_total[cond2_faceB|cond6_toolB]",0.226377334644218
"whole","whole_brain","rdm_coherent[cond2_faceB|cond6_toolB]",0.0301568765664558
"whole","whole_brain","rdm_configuration[cond2_faceB|cond6_toolB]",0.196220458077762
"whole","whole_brain","rdm_total[cond3_houseA|cond4_houseB]",-0.00442132114250717
"whole","whole_brain","rdm_coherent[cond3_houseA|cond4_houseB]",-0.00114279934399629
"whole","whole_brain","rdm_configuration[cond3_houseA|cond4_houseB]",-0.00327852179851088
"whole","whole_brain","rdm_total[cond3_houseA|cond5_toolA]",0.0757968836762863
"whole","whole_brain","rdm_coherent[cond3_houseA|cond5_toolA]",0.0176016748582035
"whole","whole_brain","rdm_configuration[cond3_houseA|cond5_toolA]",0.0581952088180828
"whole","whole_brain","rdm_total[cond3_houseA|cond6_toolB]",0.0926978555723801
"whole","whole_brain","rdm_coherent[cond3_houseA|cond6_toolB]",0.0170562297382397
"whole","whole_brain","rdm_configuration[cond3_houseA|cond6_toolB]",0.0756416258341404
"whole","whole_brain","rdm_total[cond4_houseB|cond5_toolA]",0.18060281680054
"whole","whole_brain","rdm_coherent[cond4_houseB|cond5_toolA]",0.0119945722195155
"whole","whole_brain","rdm_configuration[cond4_houseB|cond5_toolA]",0.168608244581025
"whole","whole_brain","rdm_total[cond4_houseB|cond6_toolB]",0.161956212500458
"whole","whole_brain","rdm_coherent[cond4_houseB|cond6_toolB]",0.0110091261518139
"whole","whole_brain","rdm_configuration[cond4_houseB|cond6_toolB]",0.150947086348644
"whole","whole_brain","rdm_total[cond5_toolA|cond6_toolB]",0.0323408098595816
"whole","whole_brain","rdm_coherent[cond5_toolA|cond6_toolB]",-0.00174069600249114
"whole","whole_brain","rdm_configuration[cond5_toolA|cond6_toolB]",0.0340815058620727
"regions","roiA","rdm_total[cond1_faceA|cond2_faceB]",0.0441933374398414
"regions","roiA","rdm_coherent[cond1_faceA|cond2_faceB]",0.0227957581930864
"regions","roiA","rdm_configuration[cond1_faceA|cond2_faceB]",0.021397579246755
"regions","roiA","rdm_total[cond1_faceA|cond3_houseA]",0.775772988293818
"regions","roiA","rdm_coherent[cond1_faceA|cond3_houseA]",0.276353957494311
"regions","roiA","rdm_configuration[cond1_faceA|cond3_houseA]",0.499419030799507
"regions","roiA","rdm_total[cond1_faceA|cond4_houseB]",0.56122407422742
"regions","roiA","rdm_coherent[cond1_faceA|cond4_houseB]",0.317898032866261
"regions","roiA","rdm_configuration[cond1_faceA|cond4_houseB]",0.243326041361158
"regions","roiA","rdm_total[cond1_faceA|cond5_toolA]",1.27978392506361
"regions","roiA","rdm_coherent[cond1_faceA|cond5_toolA]",0.551550781270769
"regions","roiA","rdm_configuration[cond1_faceA|cond5_toolA]",0.728233143792839
"regions","roiA","rdm_total[cond1_faceA|cond6_toolB]",1.28383647081185
"regions","roiA","rdm_coherent[cond1_faceA|cond6_toolB]",0.453857983718436
"regions","roiA","rdm_configuration[cond1_faceA|cond6_toolB]",0.82997848709341
"regions","roiA","rdm_total[cond2_faceB|cond3_houseA]",0.438885119968121
"regions","roiA","rdm_coherent[cond2_faceB|cond3_houseA]",0.137147228703483
"regions","roiA","rdm_configuration[cond2_faceB|cond3_houseA]",0.301737891264638
"regions","roiA","rdm_total[cond2_faceB|cond4_houseB]",0.336163884347401
"regions","roiA","rdm_coherent[cond2_faceB|cond4_houseB]",0.166821864282865
"regions","roiA","rdm_configuration[cond2_faceB|cond4_houseB]",0.169342020064535
"regions","roiA","rdm_total[cond2_faceB|cond5_toolA]",0.707586968398889
"regions","roiA","rdm_coherent[cond2_faceB|cond5_toolA]",0.342610776164921
"regions","roiA","rdm_configuration[cond2_faceB|cond5_toolA]",0.364976192233967
"regions","roiA","rdm_total[cond2_faceB|cond6_toolB]",0.689236106345509
"regions","roiA","rdm_coherent[cond2_faceB|cond6_toolB]",0.269129408478084
"regions","roiA","rdm_configuration[cond2_faceB|cond6_toolB]",0.420106697867425
"regions","roiA","rdm_total[cond3_houseA|cond4_houseB]",-0.0413308226563718
"regions","roiA","rdm_coherent[cond3_houseA|cond4_houseB]",-0.00226620446333455
"regions","roiA","rdm_configuration[cond3_houseA|cond4_houseB]",-0.0390646181930373
"regions","roiA","rdm_total[cond3_houseA|cond5_toolA]",0.395223983862729
"regions","roiA","rdm_coherent[cond3_houseA|cond5_toolA]",0.0382134833511571
"regions","roiA","rdm_configuration[cond3_houseA|cond5_toolA]",0.357010500511572
"regions","roiA","rdm_total[cond3_houseA|cond6_toolB]",0.416185957390076
"regions","roiA","rdm_coherent[cond3_houseA|cond6_toolB]",0.0180203669248564
"regions","roiA","rdm_configuration[cond3_houseA|cond6_toolB]",0.398165590465219
"regions","roiA","rdm_total[cond4_houseB|cond5_toolA]",0.470197120539533
"regions","roiA","rdm_coherent[cond4_houseB|cond5_toolA]",0.0291618865601473
"regions","roiA","rdm_configuration[cond4_houseB|cond5_toolA]",0.441035233979386
"regions","roiA","rdm_total[cond4_houseB|cond6_toolB]",0.548611922365155
