"pair","left","right","category","animacy"
1,"cond1_faceA","cond2_faceB",0,0
2,"cond1_faceA","cond3_houseA",1,1
3,"cond1_faceA","cond4_houseB",1,1
4,"cond1_faceA","cond5_toolA",1,1
5,"cond1_faceA","cond6_toolB",1,1
6,"cond2_faceB","cond3_houseA",1,1
7,"cond2_faceB","cond4_houseB",1,1
8,"cond2_faceB","cond5_toolA",1,1
9,"cond2_faceB","cond6_toolB",1,1
10,"cond3_houseA","cond4_houseB",0,0
11,"cond3_houseA","cond5_toolA",1,0
12,"cond3_houseA","cond6_toolB",1,0
13,"cond4_houseB","cond5_toolA",1,0
14,"cond4_houseB","cond6_toolB",1,0
15,"cond5_toolA","cond6_toolB",0,0
