measurement,term,rsatoolbox,route
whole_brain,(Intercept),0.010455374753279852,numpy_lstsq
whole_brain,category,0.11730806738413647,numpy_lstsq
whole_brain,animacy,0.12364280236829744,numpy_lstsq
whole_brain,nointercept:category,0.12776344213741642,numpy_lstsq
whole_brain,nointercept:animacy,0.12364280236829736,numpy_lstsq
whole_brain,nointercept:category,0.1277634421374164,fit_regress_cosine_rescaled
whole_brain,nointercept:animacy,0.12364280236829728,fit_regress_cosine_rescaled
whole_brain,cosine_scale,0.20255918974286966,diagnostic
roiA,(Intercept),0.003910801201283046,numpy_lstsq
roiA,category,0.45364394483809034,numpy_lstsq
roiA,animacy,0.3015064461427034,numpy_lstsq
roiA,nointercept:category,0.4575547460393735,numpy_lstsq
roiA,nointercept:animacy,0.30150644614270306,numpy_lstsq
roiA,nointercept:category,0.4575547460393733,fit_regress_cosine_rescaled
roiA,nointercept:animacy,0.3015064461427033,fit_regress_cosine_rescaled
roiA,cosine_scale,0.6500996994451892,diagnostic
roiB,(Intercept),0.04745630744017448,numpy_lstsq
roiB,category,0.07824211077031064,numpy_lstsq
roiB,animacy,-0.015989751780088424,numpy_lstsq
roiB,nointercept:category,0.12569841821048514,numpy_lstsq
roiB,nointercept:animacy,-0.015989751780088424,numpy_lstsq
roiB,nointercept:category,0.1256984182104851,fit_regress_cosine_rescaled
roiB,nointercept:animacy,-0.015989751780088407,fit_regress_cosine_rescaled
roiB,cosine_scale,0.13575655891746358,diagnostic
roiC,(Intercept),-9.311066384199615e-05,numpy_lstsq
roiC,category,0.043084801991759,numpy_lstsq
roiC,animacy,-0.030614522449285978,numpy_lstsq
roiC,nointercept:category,0.04299169132791701,numpy_lstsq
roiC,nointercept:animacy,-0.030614522449285968,numpy_lstsq
roiC,nointercept:category,0.04299169132791699,fit_regress_cosine_rescaled
roiC,nointercept:animacy,-0.030614522449285964,fit_regress_cosine_rescaled
roiC,cosine_scale,0.040135330214326775,diagnostic
