"path","repetitions","median_elapsed_seconds","max_resident_delta_bytes","result_bytes"
"plan_relation_cell_fixed",3,0.254,33357824,652144
"plan_relation_treatment_fixed",3,0.0250000000000004,688128,654640
"estimate_native_fixed",3,0.115,6619136,615344
"compiler_conformance",3,0.0149999999999997,32768,2624
"fmrireg_relation_ols",3,0.0119999999999996,180224,88328
"plan_geometry",3,0.111,1982464,260496
"contrast_query_first",3,0.209,10551296,49776
"rdm_query_first",3,0.0190000000000001,49152,27352
"rsa_query_first",3,0.0419999999999998,98304,29576
"rdm_sampling_covariance",3,0.157,8175616,911352
"bids_events",3,0.004999999999999,0,17920
"bids_confounds",3,0.00799999999999912,0,13152
"bids_study",3,0.0140000000000011,0,95392
"fmridesign_design_model",3,0.0129999999999999,0,64640
