"regime","policy","estimand","replications","population_target","mean_estimate","estimate_variance","estimate_se","conditional_target_bias","conditional_target_bias_se","population_mahalanobis_bias","population_mahalanobis_bias_se","learner_target_bias","learner_target_bias_se","population_rmse","quantity","difference_direction","mean_difference","paired_difference_se","confidence_level","ci_lower","ci_upper","equivalence_margin","equivalent_within_margin","record_type"
"unmodelled_ar1","all_run_residuals","null",500,0,-0.000508622489355189,3.06184437742485e-05,0.000247460880844826,-0.000508622489355189,0.000247460880844826,-0.000508622489355189,0.000247460880844826,0,0,0.00555120741130953,,,,,,,,,,"recovery"
"unmodelled_ar1","training_only","null",500,0,-0.000524993092419149,3.39141448791705e-05,0.000260438648741582,-0.000524993092419149,0.000260438648741582,-0.000524993092419149,0.000260438648741582,0,0,0.00584139832030824,,,,,,,,,,"recovery"
"unmodelled_ar1","all_run_residuals","signal",500,0.397876344086021,0.354732921738765,0.0360606376198368,0.00849242457956935,0.00881336435082031,0.00824455555006289,-0.0431434223472564,0.00849242457956935,-0.0519567866980768,0.0017316358309812,0.194550433657782,,,,,,,,,,"recovery"
"unmodelled_ar1","training_only","signal",500,0.397876344086021,0.364093203436499,0.0385640291070723,0.00878225815005142,0.00926328797826793,0.0085371585094044,-0.0337831406495222,0.00878225815005142,-0.0430464286277901,0.00177349891367827,0.199068334099132,,,,,,,,,,"recovery"
"well_specified","all_run_residuals","null",500,0,0.000224177514014338,0.00040959286852726,0.000905088800645837,0.000224177514014338,0.000905088800645837,0.000224177514014338,0.000905088800645837,0,0,0.0202193951034148,,,,,,,,,,"recovery"
"well_specified","training_only","null",500,0,3.69676758630115e-06,0.000434302736899336,0.000931990060997794,3.69676758630115e-06,0.000931990060997794,3.69676758630115e-06,0.000931990060997794,0,0,0.020819081273957,,,,,,,,,,"recovery"
"well_specified","all_run_residuals","signal",500,0.397876344086021,0.300268967246089,0.00765538626713482,0.00391289822692459,-0.00415634537340266,0.0037719788710762,-0.0976073768399324,0.00391289822692459,-0.0934510314665297,0.00108963625924906,0.131023950131925,,,,,,,,,,"recovery"
"well_specified","training_only","signal",500,0.397876344086021,0.304546862592437,0.00785694686752489,0.00396407539472319,-0.0041869049854103,0.00382595681705839,-0.0933294814935847,0.00396407539472319,-0.0891425765081744,0.00110781170135837,0.128653119237938,,,,,,,,,,"recovery"
"unmodelled_ar1",,"null",500,,,,,,,,,,,,"conditional_target","all_run_minus_training_only",0,0,0.95,0,0,0.005,TRUE,"policy_equivalence"
"unmodelled_ar1",,"null",500,,,,,,,,,,,,"estimate","all_run_minus_training_only",1.63706030639605e-05,4.44837352708904e-05,0.95,-7.10278990436735e-05,0.000103769105171595,0.005,TRUE,"policy_equivalence"
"unmodelled_ar1",,"null",500,,,,,,,,,,,,"evaluator_error","all_run_minus_training_only",1.63706030639605e-05,4.44837352708904e-05,0.95,-7.10278990436735e-05,0.000103769105171595,0.005,TRUE,"policy_equivalence"
"unmodelled_ar1",,"signal",500,,,,,,,,,,,,"conditional_target","all_run_minus_training_only",-0.00891035807028661,0.000204878599050426,0.95,-0.00931288907542537,-0.00850782706514785,0.005,FALSE,"policy_equivalence"
"unmodelled_ar1",,"signal",500,,,,,,,,,,,,"estimate","all_run_minus_training_only",-0.00936028169773422,0.00103882546962787,0.95,-0.0114012926300187,-0.00731927076544976,0.005,FALSE,"policy_equivalence"
"unmodelled_ar1",,"signal",500,,,,,,,,,,,,"evaluator_error","all_run_minus_training_only",-0.000449923627447606,0.001050002508093,0.95,-0.00251289441570871,0.00161304716081349,0.005,TRUE,"policy_equivalence"
"well_specified",,"null",500,,,,,,,,,,,,"conditional_target","all_run_minus_training_only",0,0,0.95,0,0,0.005,TRUE,"policy_equivalence"
"well_specified",,"null",500,,,,,,,,,,,,"estimate","all_run_minus_training_only",0.000220480746428037,0.000112949972773469,0.95,-1.43538479125644e-06,0.00044239687764733,0.005,TRUE,"policy_equivalence"
"well_specified",,"null",500,,,,,,,,,,,,"evaluator_error","all_run_minus_training_only",0.000220480746428037,0.000112949972773469,0.95,-1.43538479125644e-06,0.00044239687764733,0.005,TRUE,"policy_equivalence"
"well_specified",,"signal",500,,,,,,,,,,,,"conditional_target","all_run_minus_training_only",-0.00430845495835537,9.90288938161138e-05,0.95,-0.00450301993659289,-0.00411388998011785,0.005,TRUE,"policy_equivalence"
"well_specified",,"signal",500,,,,,,,,,,,,"estimate","all_run_minus_training_only",-0.00427789534634773,0.000322956317278468,0.95,-0.00491241711490988,-0.00364337357778558,0.005,TRUE,"policy_equivalence"
"well_specified",,"signal",500,,,,,,,,,,,,"evaluator_error","all_run_minus_training_only",3.05596120076375e-05,0.000317140923333241,0.95,-0.000592536481150154,0.000653655705165428,0.005,TRUE,"policy_equivalence"
