"scenario","scenario_label","metric","scale","truth","estimate_mean","estimate_sd","interval_lower","interval_upper","n_valid","n_replications","noise_regime","trials_per_condition","snr","first_seed","last_seed"
"broad_coherent","Broad coherent","aggregate_crossvalidated_magnitude",NA,10.88,10.7507755409326,0.967012114402413,9.30057317297001,12.5460756617372,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","aggregate_crossvalidated_magnitude",NA,10.88,10.570025572154,1.00166836025289,8.81056758292361,12.2921399670918,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","aggregate_crossvalidated_magnitude",NA,10.88,10.5771924167195,1.01374086683376,8.7728976746527,12.1814484551867,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","coherence_fraction",0.01,1,1,0,1,1,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","coherence_fraction",1.01,1,0.991123970861321,0.0051016377955214,0.983956530197233,0.997997285874159,13,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","coherence_fraction",2.01,1,0.991307333900834,0.00599945055717585,0.983040970756395,0.999461755787187,14,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","coherence_fraction",4.01,1,0.989545675080632,0.00741609378005059,0.979350755613156,0.999832972802699,12,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","coherence_fraction",0.01,1,1,0,1,1,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","coherence_fraction",1.01,0.555511463844797,0.557639423395975,0.0390426351170201,0.489156745865068,0.6090942159126,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","coherence_fraction",2.01,0.522873077172281,0.525819133046804,0.0415073571188705,0.453130333231168,0.579932754483271,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","coherence_fraction",4.01,0.506986219089143,0.510911939065171,0.0426871364987306,0.434077385466687,0.563970817350832,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","coherence_fraction",0.01,1,1,0,1,1,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","coherence_fraction",1.01,0.111022927689594,0.107317861170635,0.0106016776697382,0.0914007972325967,0.126229155490726,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","coherence_fraction",2.01,0.0457461543445605,0.0425159431088467,0.00912787334960614,0.0272625518471801,0.0600022395693601,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","coherence_fraction",4.01,0.0139724381782865,0.0122522947377124,0.00553544897337018,0.00132018126550003,0.0219564826639188,23,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","coherent",0.01,2.72,2.68769388523316,0.241753028600603,2.3251432932425,3.1365189154343,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","coherent",1.01,2.72,2.6818101045748,0.235902668072813,2.32386127308669,3.13808906751189,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","coherent",2.01,2.72,2.68247589001297,0.234481249318863,2.32133784413905,3.13250665235059,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","coherent",4.01,2.72,2.68305895527732,0.233141746377276,2.31127404577231,3.12654321418316,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","coherent",0.01,2.72,2.6425063930385,0.250417090063221,2.2026418957309,3.07303499177294,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","coherent",1.01,1.51099118165785,1.47306721635583,0.17318997535209,1.2257435974416,1.82345434468973,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","coherent",2.01,1.4222147699086,1.38896174361148,0.17082145080062,1.13631422700431,1.72623146608259,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","coherent",4.01,1.37900251592247,1.34930779012714,0.167220450862791,1.08633937252271,1.67090127510562,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","coherent",0.01,2.72,2.64429810417988,0.25343521670844,2.19322441866318,3.04536211379667,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","coherent",1.01,0.301982363315697,0.284677533135372,0.0446930561686551,0.20633413824628,0.361226144199344,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","coherent",2.01,0.124429539817205,0.113454637568504,0.0302787174434081,0.0635678996663485,0.173564632059792,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","coherent",4.01,0.0380050318449393,0.0318208128846348,0.0173070842941852,0.000203934303455678,0.0631721909648234,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","configuration",0.01,0,0,0,0,0,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","configuration",1.01,0,0.00588378065835728,0.025827929998977,-0.0415868107001181,0.0495514985336233,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","configuration",2.01,0,0.00521799522019623,0.0291741214606887,-0.048624712548282,0.0513530815804308,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","configuration",4.01,9.05941988094128e-16,0.00463492995584388,0.0320392464216969,-0.0519164922561441,0.0584882515734634,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","configuration",0.01,0,0,0,0,0,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","configuration",1.01,1.20900881834215,1.16943917668267,0.154297046690515,0.909363483610546,1.43062964309523,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","configuration",2.01,1.2977852300914,1.25354464942702,0.16451953031989,0.972129521848676,1.52679124553968,24,24,"gaussian",24,0.8,4301,4324
