"metric","group","observed","threshold","comparison","passes","boundary"
"conservation_max_abs","all cells",3.5527136788005e-15,1e-10,"<=",TRUE,"sum of alpha-weighted scale totals equals global aggregate"
"recomposition_max_abs","all rows",4.44089209850063e-16,1e-10,"<=",TRUE,"coherent plus configuration equals total"
"null_false_separation_max_abs","all paired null scenarios",0,1e-12,"<=",TRUE,"identical null observations cannot separate organization labels"
"recoverable_total_relative_bias","gaussian broad_coherent",0.0187699306085205,0.12,"<=",TRUE,"n=24 SNR=0.8 crossvalidated aggregate"
"recoverable_share_mae","gaussian broad_coherent",0.00997489211034937,0.12,"<=",TRUE,"nonpoint coherence share at n=24 SNR=0.8"
"recoverable_total_relative_bias","gaussian mixed_broad_fine",0.021331705095869,0.12,"<=",TRUE,"n=24 SNR=0.8 crossvalidated aggregate"
"recoverable_share_mae","gaussian mixed_broad_fine",0.0316055941472296,0.12,"<=",TRUE,"nonpoint coherence share at n=24 SNR=0.8"
"recoverable_total_relative_bias","gaussian fine_configuration",0.0109768454501481,0.12,"<=",TRUE,"n=24 SNR=0.8 crossvalidated aggregate"
"recoverable_share_mae","gaussian fine_configuration",0.00631834480619206,0.12,"<=",TRUE,"nonpoint coherence share at n=24 SNR=0.8"
"recoverable_ordering_rate","gaussian",1,0.8,">=",TRUE,"broad greater than mixed greater than fine coherent share"
"aggregate_ambiguity_95_bound","gaussian",0.221626393900251,1.632,"<=",TRUE,"paired broad-minus-mixed aggregate mean plus 1.96 Monte Carlo SE"
"spectrum_separation","gaussian",0.490820962201764,0.35,">=",TRUE,"wide-scale broad-minus-mixed coherent share"
"activation_negative_control","gaussian",0.234314575050762,0.15,">=",TRUE,"regional activation correctly separates broad from mixed"
"recoverable_total_relative_bias","heteroskedastic broad_coherent",0.0227585363084161,0.12,"<=",TRUE,"n=24 SNR=0.8 crossvalidated aggregate"
"recoverable_share_mae","heteroskedastic broad_coherent",0.0113614650719667,0.12,"<=",TRUE,"nonpoint coherence share at n=24 SNR=0.8"
"recoverable_total_relative_bias","heteroskedastic mixed_broad_fine",0.0279458594680727,0.12,"<=",TRUE,"n=24 SNR=0.8 crossvalidated aggregate"
"recoverable_share_mae","heteroskedastic mixed_broad_fine",0.0297696961640577,0.12,"<=",TRUE,"nonpoint coherence share at n=24 SNR=0.8"
"recoverable_total_relative_bias","heteroskedastic fine_configuration",0.0162239970922836,0.12,"<=",TRUE,"n=24 SNR=0.8 crossvalidated aggregate"
"recoverable_share_mae","heteroskedastic fine_configuration",0.00632994616329851,0.12,"<=",TRUE,"nonpoint coherence share at n=24 SNR=0.8"
"recoverable_ordering_rate","heteroskedastic",1,0.8,">=",TRUE,"broad greater than mixed greater than fine coherent share"
"aggregate_ambiguity_95_bound","heteroskedastic",0.253725962347175,1.632,"<=",TRUE,"paired broad-minus-mixed aggregate mean plus 1.96 Monte Carlo SE"
"spectrum_separation","heteroskedastic",0.491404586812192,0.35,">=",TRUE,"wide-scale broad-minus-mixed coherent share"
"activation_negative_control","heteroskedastic",0.234314575050762,0.15,">=",TRUE,"regional activation correctly separates broad from mixed"
"recoverable_total_relative_bias","spatial_correlated broad_coherent",0.0303790148868096,0.12,"<=",TRUE,"n=24 SNR=0.8 crossvalidated aggregate"
"recoverable_share_mae","spatial_correlated broad_coherent",0.00598217065105369,0.12,"<=",TRUE,"nonpoint coherence share at n=24 SNR=0.8"
"recoverable_total_relative_bias","spatial_correlated mixed_broad_fine",0.0268136188495019,0.12,"<=",TRUE,"n=24 SNR=0.8 crossvalidated aggregate"
"recoverable_share_mae","spatial_correlated mixed_broad_fine",0.046366468187147,0.12,"<=",TRUE,"nonpoint coherence share at n=24 SNR=0.8"
"recoverable_total_relative_bias","spatial_correlated fine_configuration",0.00867752816698914,0.12,"<=",TRUE,"n=24 SNR=0.8 crossvalidated aggregate"
"recoverable_share_mae","spatial_correlated fine_configuration",0.0137199031409237,0.12,"<=",TRUE,"nonpoint coherence share at n=24 SNR=0.8"
"recoverable_ordering_rate","spatial_correlated",1,0.8,">=",TRUE,"broad greater than mixed greater than fine coherent share"
"aggregate_ambiguity_95_bound","spatial_correlated",0.222359091732878,1.632,"<=",TRUE,"paired broad-minus-mixed aggregate mean plus 1.96 Monte Carlo SE"
"spectrum_separation","spatial_correlated",0.49076940015172,0.35,">=",TRUE,"wide-scale broad-minus-mixed coherent share"
"activation_negative_control","spatial_correlated",0.234314575050762,0.15,">=",TRUE,"regional activation correctly separates broad from mixed"
