"key","value"
"schema_version","matched-interpretability-certification-v1"
"evidence_claim","CF-H10"
"tier","full"
"first_seed","5001"
"last_seed","5048"
"replications","48"
"scenarios","broad_coherent,mixed_broad_fine,fine_configuration"
"noise_regimes","gaussian,heteroskedastic,spatial_correlated"
"trials_per_condition","6,24"
"snr","0,0.2,0.8"
"frame_radii","0.01,1.01,2.01,4.01"
"frame_alpha","0.25,0.25,0.25,0.25"
"conservation_abs","0.0000000001"
"recomposition_abs","0.0000000001"
"null_false_separation_abs","0.00000000000099999999999999998"
"recoverable_total_relative_bias","0.12"
"recoverable_share_mae","0.12"
"recoverable_ordering_rate","0.80000000000000004"
"ambiguity_equivalence_fraction","0.14999999999999999"
"spectrum_separation","0.34999999999999998"
"activation_negative_control","0.14999999999999999"
