"scenario","noise_regime","trials_per_condition","snr","regime_label","scale","metric","truth","estimate_mean","estimate_sd","interval_lower","interval_upper","n_valid","n_replications"
"broad_coherent","gaussian",6,0,"null",0.01,"activation",0,0.00868282731666582,0.0641951621039576,-0.110228862612256,0.122040646622179,48,48
"broad_coherent","gaussian",6,0,"null",0.01,"aggregate",0,0.079989859151021,0.541259052619293,-0.78303219709858,1.11516606424052,48,48
"broad_coherent","gaussian",6,0,"null",0.01,"total",0,0.0199974647877553,0.135314763154823,-0.195758049274645,0.27879151606013,48,48
"broad_coherent","gaussian",6,0,"null",0.01,"coherent",0,0.0199974647877553,0.135314763154823,-0.195758049274645,0.27879151606013,48,48
"broad_coherent","gaussian",6,0,"null",0.01,"configuration",0,0,0,0,0,48,48
"broad_coherent","gaussian",6,0,"null",0.01,"coherent_share",NA,1,0,1,1,48,48
"broad_coherent","gaussian",6,0,"null",1.01,"activation",0,0.00868282731666582,0.0641951621039576,-0.110228862612256,0.122040646622179,48,48
"broad_coherent","gaussian",6,0,"null",1.01,"aggregate",0,0.079989859151021,0.541259052619293,-0.78303219709858,1.11516606424052,48,48
"broad_coherent","gaussian",6,0,"null",1.01,"total",0,0.0199974647877553,0.135314763154823,-0.195758049274645,0.27879151606013,48,48
"broad_coherent","gaussian",6,0,"null",1.01,"coherent",0,0.00525696345622507,0.0721380938477343,-0.108282386897184,0.15905808086272,48,48
"broad_coherent","gaussian",6,0,"null",1.01,"configuration",0,0.0147405013315302,0.0976175960150855,-0.131616492217284,0.183315460140444,48,48
"broad_coherent","gaussian",6,0,"null",1.01,"coherent_share",NA,0.687479500896788,5.24761308731367,-4.87825925347813,11.3940546603509,48,48
"broad_coherent","gaussian",6,0,"null",2.01,"activation",0,0.00868282731666582,0.0641951621039576,-0.110228862612256,0.122040646622179,48,48
"broad_coherent","gaussian",6,0,"null",2.01,"aggregate",0,0.079989859151021,0.541259052619293,-0.78303219709858,1.11516606424052,48,48
"broad_coherent","gaussian",6,0,"null",2.01,"total",0,0.0199974647877553,0.135314763154823,-0.195758049274645,0.27879151606013,48,48
"broad_coherent","gaussian",6,0,"null",2.01,"coherent",0,0.000230300653456458,0.0546039137732819,-0.084670312940831,0.126231189126904,48,48
"broad_coherent","gaussian",6,0,"null",2.01,"configuration",0,0.0197671641342988,0.117516025436181,-0.155743315556805,0.21402315997613,48,48
"broad_coherent","gaussian",6,0,"null",2.01,"coherent_share",NA,0.324849616742798,3.81536951127489,-4.77745456606389,5.91950308671934,48,48
"broad_coherent","gaussian",6,0,"null",4.01,"activation",0,0.00868282731666582,0.0641951621039576,-0.110228862612256,0.122040646622179,48,48
"broad_coherent","gaussian",6,0,"null",4.01,"aggregate",0,0.079989859151021,0.541259052619293,-0.78303219709858,1.11516606424052,48,48
"broad_coherent","gaussian",6,0,"null",4.01,"total",0,0.0199974647877553,0.135314763154823,-0.195758049274645,0.27879151606013,48,48
"broad_coherent","gaussian",6,0,"null",4.01,"coherent",0,0.00207219053438125,0.0430255155482363,-0.0775094993831083,0.118698279210079,48,48
"broad_coherent","gaussian",6,0,"null",4.01,"configuration",0,0.017925274253374,0.122382583427188,-0.155390614427483,0.206449848144059,48,48
"broad_coherent","gaussian",6,0,"null",4.01,"coherent_share",NA,0.169465194623891,2.92527474203475,-5.32405873700643,3.28009991480006,48,48
"broad_coherent","gaussian",6,0.2,"low_power",0.01,"activation",0.2,0.208682827316666,0.0641951621039576,0.0897711373877438,0.322040646622179,48,48
"broad_coherent","gaussian",6,0.2,"low_power",0.01,"aggregate",0.68,0.819033084904349,0.719010967278105,-0.134679879555323,2.53117575584328,48,48
"broad_coherent","gaussian",6,0.2,"low_power",0.01,"total",0.17,0.204758271226087,0.179752741819526,-0.0336699698888309,0.63279393896082,48,48
"broad_coherent","gaussian",6,0.2,"low_power",0.01,"coherent",0.17,0.204758271226087,0.179752741819526,-0.0336699698888309,0.63279393896082,48,48
"broad_coherent","gaussian",6,0.2,"low_power",0.01,"configuration",0,0,0,0,0,48,48
"broad_coherent","gaussian",6,0.2,"low_power",0.01,"coherent_share",1,1,0,1,1,48,48
"broad_coherent","gaussian",6,0.2,"low_power",1.01,"activation",0.2,0.208682827316666,0.0641951621039576,0.0897711373877438,0.322040646622179,48,48
"broad_coherent","gaussian",6,0.2,"low_power",1.01,"aggregate",0.68,0.819033084904349,0.719010967278105,-0.134679879555323,2.53117575584328,48,48
"broad_coherent","gaussian",6,0.2,"low_power",1.01,"total",0.17,0.204758271226087,0.179752741819526,-0.0336699698888308,0.63279393896082,48,48
"broad_coherent","gaussian",6,0.2,"low_power",1.01,"coherent",0.17,0.190017769894557,0.121273873256505,-0.0245956714677064,0.49487340984828,48,48
"broad_coherent","gaussian",6,0.2,"low_power",1.01,"configuration",0,0.0147405013315302,0.0976175960150855,-0.131616492217284,0.183315460140444,48,48
"broad_coherent","gaussian",6,0.2,"low_power",1.01,"coherent_share",1,0.154579796158286,4.69918804492036,-3.48943055699917,3.01783213877115,48,48
"broad_coherent","gaussian",6,0.2,"low_power",2.01,"activation",0.2,0.208682827316666,0.0641951621039576,0.0897711373877438,0.322040646622179,48,48
"broad_coherent","gaussian",6,0.2,"low_power",2.01,"aggregate",0.68,0.819033084904349,0.719010967278105,-0.134679879555323,2.53117575584328,48,48
"broad_coherent","gaussian",6,0.2,"low_power",2.01,"total",0.17,0.204758271226087,0.179752741819526,-0.0336699698888309,0.63279393896082,48,48
"broad_coherent","gaussian",6,0.2,"low_power",2.01,"coherent",0.17,0.184991107091788,0.109752746974103,0.00653567264836612,0.430740800539973,48,48
"broad_coherent","gaussian",6,0.2,"low_power",2.01,"configuration",0,0.0197671641342988,0.117516025436181,-0.155743315556805,0.21402315997613,48,48
"broad_coherent","gaussian",6,0.2,"low_power",2.01,"coherent_share",1,0.701172489239295,1.50842201799787,-3.38928072141147,3.59461544962942,48,48
"broad_coherent","gaussian",6,0.2,"low_power",4.01,"activation",0.2,0.208682827316666,0.0641951621039576,0.0897711373877438,0.322040646622179,48,48
"broad_coherent","gaussian",6,0.2,"low_power",4.01,"aggregate",0.68,0.819033084904349,0.719010967278105,-0.134679879555323,2.53117575584328,48,48
