"scenario","snr","scale","metric","value"
"broad_coherent",0,0.01,"coherent",0
"broad_coherent",0,0.01,"coherent_share",NA
"broad_coherent",0,0.01,"configuration",0
"broad_coherent",0,0.01,"configuration_share",NA
"broad_coherent",0,0.01,"total",0
"broad_coherent",0,1.01,"coherent",0
"broad_coherent",0,1.01,"coherent_share",NA
"broad_coherent",0,1.01,"configuration",0
"broad_coherent",0,1.01,"configuration_share",NA
"broad_coherent",0,1.01,"total",0
"broad_coherent",0,2.01,"coherent",0
"broad_coherent",0,2.01,"coherent_share",NA
"broad_coherent",0,2.01,"configuration",0
"broad_coherent",0,2.01,"configuration_share",NA
"broad_coherent",0,2.01,"total",0
"broad_coherent",0,4.01,"coherent",0
"broad_coherent",0,4.01,"coherent_share",NA
"broad_coherent",0,4.01,"configuration",0
"broad_coherent",0,4.01,"configuration_share",NA
"broad_coherent",0,4.01,"total",0
"broad_coherent",0,NA,"coherent",0
"broad_coherent",0,NA,"configuration",0
"broad_coherent",0,NA,"total",0
"broad_coherent",0.2,0.01,"coherent",0.17
"broad_coherent",0.2,0.01,"coherent_share",1
"broad_coherent",0.2,0.01,"configuration",0
"broad_coherent",0.2,0.01,"configuration_share",0
"broad_coherent",0.2,0.01,"total",0.17
"broad_coherent",0.2,1.01,"coherent",0.17
"broad_coherent",0.2,1.01,"coherent_share",1
"broad_coherent",0.2,1.01,"configuration",0
"broad_coherent",0.2,1.01,"configuration_share",0
"broad_coherent",0.2,1.01,"total",0.17
"broad_coherent",0.2,2.01,"coherent",0.17
"broad_coherent",0.2,2.01,"coherent_share",1
"broad_coherent",0.2,2.01,"configuration",0
"broad_coherent",0.2,2.01,"configuration_share",0
"broad_coherent",0.2,2.01,"total",0.17
"broad_coherent",0.2,4.01,"coherent",0.17
"broad_coherent",0.2,4.01,"coherent_share",1
"broad_coherent",0.2,4.01,"configuration",5.6621374255883e-17
"broad_coherent",0.2,4.01,"configuration_share",3.33066907387547e-16
"broad_coherent",0.2,4.01,"total",0.17
"broad_coherent",0.2,NA,"coherent",0.68
"broad_coherent",0.2,NA,"configuration",6.86635019778336e-17
"broad_coherent",0.2,NA,"total",0.68
"broad_coherent",0.8,0.01,"coherent",2.72
"broad_coherent",0.8,0.01,"coherent_share",1
"broad_coherent",0.8,0.01,"configuration",0
"broad_coherent",0.8,0.01,"configuration_share",0
"broad_coherent",0.8,0.01,"total",2.72
"broad_coherent",0.8,1.01,"coherent",2.72
"broad_coherent",0.8,1.01,"coherent_share",1
"broad_coherent",0.8,1.01,"configuration",0
"broad_coherent",0.8,1.01,"configuration_share",0
"broad_coherent",0.8,1.01,"total",2.72
"broad_coherent",0.8,2.01,"coherent",2.72
"broad_coherent",0.8,2.01,"coherent_share",1
"broad_coherent",0.8,2.01,"configuration",0
"broad_coherent",0.8,2.01,"configuration_share",0
"broad_coherent",0.8,2.01,"total",2.72
"broad_coherent",0.8,4.01,"coherent",2.72
"broad_coherent",0.8,4.01,"coherent_share",1
"broad_coherent",0.8,4.01,"configuration",9.05941988094128e-16
"broad_coherent",0.8,4.01,"configuration_share",3.33066907387547e-16
"broad_coherent",0.8,4.01,"total",2.72
"broad_coherent",0.8,NA,"coherent",10.88
"broad_coherent",0.8,NA,"configuration",1.09861603164534e-15
"broad_coherent",0.8,NA,"total",10.88
"fine_configuration",0,0.01,"coherent",0
"fine_configuration",0,0.01,"coherent_share",NA
"fine_configuration",0,0.01,"configuration",0
"fine_configuration",0,0.01,"configuration_share",NA
"fine_configuration",0,0.01,"total",0
"fine_configuration",0,1.01,"coherent",0
"fine_configuration",0,1.01,"coherent_share",NA
"fine_configuration",0,1.01,"configuration",0
"fine_configuration",0,1.01,"configuration_share",NA
"fine_configuration",0,1.01,"total",0
"fine_configuration",0,2.01,"coherent",0
"fine_configuration",0,2.01,"coherent_share",NA
"fine_configuration",0,2.01,"configuration",0
"fine_configuration",0,2.01,"configuration_share",NA
"fine_configuration",0,2.01,"total",0
"fine_configuration",0,4.01,"coherent",0
"fine_configuration",0,4.01,"coherent_share",NA
"fine_configuration",0,4.01,"configuration",0
"fine_configuration",0,4.01,"configuration_share",NA
"fine_configuration",0,4.01,"total",0
"fine_configuration",0,NA,"coherent",0
"fine_configuration",0,NA,"configuration",0
"fine_configuration",0,NA,"total",0
"fine_configuration",0.2,0.01,"coherent",0.17
"fine_configuration",0.2,0.01,"coherent_share",1
"fine_configuration",0.2,0.01,"configuration",0
"fine_configuration",0.2,0.01,"configuration_share",0
"fine_configuration",0.2,0.01,"total",0.17
"fine_configuration",0.2,1.01,"coherent",0.018873897707231
"fine_configuration",0.2,1.01,"coherent_share",0.111022927689594
"fine_configuration",0.2,1.01,"configuration",0.151126102292769
"fine_configuration",0.2,1.01,"configuration_share",0.888977072310406
"fine_configuration",0.2,1.01,"total",0.17
"fine_configuration",0.2,2.01,"coherent",0.00777684623857529
"fine_configuration",0.2,2.01,"coherent_share",0.0457461543445605
"fine_configuration",0.2,2.01,"configuration",0.162223153761425
"fine_configuration",0.2,2.01,"configuration_share",0.95425384565544
"fine_configuration",0.2,2.01,"total",0.17
"fine_configuration",0.2,4.01,"coherent",0.0023753144903087
"fine_configuration",0.2,4.01,"coherent_share",0.0139724381782865
"fine_configuration",0.2,4.01,"configuration",0.167624685509691
"fine_configuration",0.2,4.01,"configuration_share",0.986027561821713
"fine_configuration",0.2,4.01,"total",0.17
"fine_configuration",0.2,NA,"coherent",-4.19082355898662e-33
"fine_configuration",0.2,NA,"configuration",0.68
"fine_configuration",0.2,NA,"total",0.68
"fine_configuration",0.8,0.01,"coherent",2.72
"fine_configuration",0.8,0.01,"coherent_share",1
"fine_configuration",0.8,0.01,"configuration",0
"fine_configuration",0.8,0.01,"configuration_share",0
"fine_configuration",0.8,0.01,"total",2.72
"fine_configuration",0.8,1.01,"coherent",0.301982363315697
"fine_configuration",0.8,1.01,"coherent_share",0.111022927689594
"fine_configuration",0.8,1.01,"configuration",2.4180176366843
"fine_configuration",0.8,1.01,"configuration_share",0.888977072310406
"fine_configuration",0.8,1.01,"total",2.72
"fine_configuration",0.8,2.01,"coherent",0.124429539817205
"fine_configuration",0.8,2.01,"coherent_share",0.0457461543445605
"fine_configuration",0.8,2.01,"configuration",2.5955704601828
"fine_configuration",0.8,2.01,"configuration_share",0.95425384565544
"fine_configuration",0.8,2.01,"total",2.72
"fine_configuration",0.8,4.01,"coherent",0.0380050318449393
"fine_configuration",0.8,4.01,"coherent_share",0.0139724381782865
"fine_configuration",0.8,4.01,"configuration",2.68199496815506
"fine_configuration",0.8,4.01,"configuration_share",0.986027561821713
"fine_configuration",0.8,4.01,"total",2.72
"fine_configuration",0.8,NA,"coherent",-6.7053176943786e-32
"fine_configuration",0.8,NA,"configuration",10.88
"fine_configuration",0.8,NA,"total",10.88
"mixed_broad_fine",0,0.01,"coherent",0
"mixed_broad_fine",0,0.01,"coherent_share",NA
"mixed_broad_fine",0,0.01,"configuration",0
"mixed_broad_fine",0,0.01,"configuration_share",NA
"mixed_broad_fine",0,0.01,"total",0
"mixed_broad_fine",0,1.01,"coherent",0
"mixed_broad_fine",0,1.01,"coherent_share",NA
"mixed_broad_fine",0,1.01,"configuration",0
"mixed_broad_fine",0,1.01,"configuration_share",NA
"mixed_broad_fine",0,1.01,"total",0
"mixed_broad_fine",0,2.01,"coherent",0
"mixed_broad_fine",0,2.01,"coherent_share",NA
"mixed_broad_fine",0,2.01,"configuration",0
"mixed_broad_fine",0,2.01,"configuration_share",NA
"mixed_broad_fine",0,2.01,"total",0
"mixed_broad_fine",0,4.01,"coherent",0
"mixed_broad_fine",0,4.01,"coherent_share",NA
"mixed_broad_fine",0,4.01,"configuration",0
"mixed_broad_fine",0,4.01,"configuration_share",NA
"mixed_broad_fine",0,4.01,"total",0
"mixed_broad_fine",0,NA,"coherent",0
"mixed_broad_fine",0,NA,"configuration",0
"mixed_broad_fine",0,NA,"total",0
"mixed_broad_fine",0.2,0.01,"coherent",0.17
"mixed_broad_fine",0.2,0.01,"coherent_share",1
"mixed_broad_fine",0.2,0.01,"configuration",0
"mixed_broad_fine",0.2,0.01,"configuration_share",0
"mixed_broad_fine",0.2,0.01,"total",0.17
"mixed_broad_fine",0.2,1.01,"coherent",0.0944369488536155
"mixed_broad_fine",0.2,1.01,"coherent_share",0.555511463844797
"mixed_broad_fine",0.2,1.01,"configuration",0.0755630511463845
"mixed_broad_fine",0.2,1.01,"configuration_share",0.444488536155203
"mixed_broad_fine",0.2,1.01,"total",0.17
"mixed_broad_fine",0.2,2.01,"coherent",0.0888884231192877
