"dataset_id","scenario","transport_regime","coverage_regime","marginal_claim_supported","replication","method","n","estimate","reported_se","lower","upper","reject","quality_mean","coverage_fraction","failure"
"gaussian_homoskedastic-r0001-s173002","gaussian_homoskedastic","fixed","complete",TRUE,1,"classical",24,0.375221637828265,0.201343855808711,-0.0423399621213725,0.792783237777903,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0001-s173002","gaussian_homoskedastic","fixed","complete",TRUE,1,"HC3",24,0.375221637828265,0.199471960843019,-0.0384578895660777,0.788901165222609,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0001-s173002","gaussian_homoskedastic","fixed","complete",TRUE,1,"wild_bootstrap",24,0.375221637828265,0.199471960843019,-0.0717479357262933,0.822191211382824,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0002-s173003","gaussian_homoskedastic","fixed","complete",TRUE,2,"classical",24,0.219631918957431,0.231485711411679,-0.260440063543853,0.699703901458715,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0002-s173003","gaussian_homoskedastic","fixed","complete",TRUE,2,"HC3",24,0.219631918957431,0.251107589808105,-0.301133348691889,0.740397186606751,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0002-s173003","gaussian_homoskedastic","fixed","complete",TRUE,2,"wild_bootstrap",24,0.219631918957431,0.251107589808105,-0.230945042014526,0.670208879929387,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0003-s173004","gaussian_homoskedastic","fixed","complete",TRUE,3,"classical",24,-0.0877181117818781,0.155308777691081,-0.409808803044504,0.234372579480747,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0003-s173004","gaussian_homoskedastic","fixed","complete",TRUE,3,"HC3",24,-0.0877181117818781,0.168962434716077,-0.438124754627043,0.262688531063287,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0003-s173004","gaussian_homoskedastic","fixed","complete",TRUE,3,"wild_bootstrap",24,-0.0877181117818781,0.168962434716077,-0.433165597307094,0.257729373743337,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0004-s173005","gaussian_homoskedastic","fixed","complete",TRUE,4,"classical",24,0.00303718913878096,0.227802255591083,-0.469395773539356,0.475470151816918,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0004-s173005","gaussian_homoskedastic","fixed","complete",TRUE,4,"HC3",24,0.00303718913878096,0.259415452801999,-0.534957531825413,0.541031910102975,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0004-s173005","gaussian_homoskedastic","fixed","complete",TRUE,4,"wild_bootstrap",24,0.00303718913878096,0.259415452801999,-0.610475816675717,0.616550194953279,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0005-s173006","gaussian_homoskedastic","fixed","complete",TRUE,5,"classical",24,0.205638608311077,0.165805780608622,-0.138221534595947,0.549498751218101,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0005-s173006","gaussian_homoskedastic","fixed","complete",TRUE,5,"HC3",24,0.205638608311077,0.173605396388388,-0.154396947701605,0.565674164323759,FALSE,1,1,FALSE
"gaussian_homoskedastic-r0005-s173006","gaussian_homoskedastic","fixed","complete",TRUE,5,"wild_bootstrap",24,0.205638608311077,0.173605396388388,-0.164037513250242,0.575314729872396,FALSE,1,1,FALSE
