"scenario","method","transport_regime","coverage_regime","marginal_claim_supported","replications","successful","bias","empirical_se","mean_reported_se","coverage","coverage_mcse","rejection","rejection_mcse","failure_rate","mean_n","mean_coverage_fraction","mean_transport_quality"
"covariate_heteroskedastic","HC3","fixed","complete",TRUE,500,500,0.020622589350786,0.325400998067463,0.301289595967281,0.928,0.0115599307956406,0.072,0.0115599307956406,0,24,1,1
"covariate_heteroskedastic","classical","fixed","complete",TRUE,500,500,0.020622589350786,0.325400998067463,0.192922456069545,0.754,0.0192605295877346,0.246,0.0192605295877346,0,24,1,1
"covariate_heteroskedastic","wild_bootstrap","fixed","complete",TRUE,500,500,0.020622589350786,0.325400998067463,0.301289595967281,0.924,0.0118510759005248,0.074,0.0117067501895274,0,24,1,1
"gaussian_homoskedastic","HC3","fixed","complete",TRUE,500,500,-0.00122614482502592,0.207289854328525,0.224872548918901,0.944,0.0102824121683582,0.056,0.0102824121683582,0,24,1,1
"gaussian_homoskedastic","classical","fixed","complete",TRUE,500,500,-0.00122614482502592,0.207289854328525,0.207454470198371,0.94,0.0106207344378814,0.06,0.0106207344378814,0,24,1,1
"gaussian_homoskedastic","wild_bootstrap","fixed","complete",TRUE,500,500,-0.00122614482502592,0.207289854328525,0.224872548918901,0.936,0.0109456840809517,0.058,0.0104533248299285,0,24,1,1
"heavy_tailed_influential","HC3","cross_fitted","complete",TRUE,500,500,0.167149073635871,0.238711251258427,0.294786371883941,0.982,0.005945754788082,0.018,0.005945754788082,0,24,1,1
"heavy_tailed_influential","classical","cross_fitted","complete",TRUE,500,500,0.167149073635871,0.238711251258427,0.290208590479748,0.954,0.00936845771725528,0.046,0.00936845771725528,0,24,1,1
"heavy_tailed_influential","wild_bootstrap","cross_fitted","complete",TRUE,500,500,0.167149073635871,0.238711251258427,0.294786371883941,0.966,0.00810481338464989,0.03,0.00762889244910426,0,24,1,1
"independent_coverage","HC3","cross_fitted","independent",TRUE,500,500,0.0050151901836748,0.243549211974356,0.253808601620359,0.94,0.0106207344378814,0.06,0.0106207344378814,0,19.258,0.802416666666667,1
"independent_coverage","classical","cross_fitted","independent",TRUE,500,500,0.0050151901836748,0.243549211974356,0.235122812893,0.944,0.0102824121683582,0.056,0.0102824121683582,0,19.258,0.802416666666667,1
"independent_coverage","wild_bootstrap","cross_fitted","independent",TRUE,500,500,0.0050151901836748,0.243549211974356,0.253808601620359,0.944,0.0102824121683582,0.054,0.0101078187557949,0,19.258,0.802416666666667,1
"informative_coverage_cross_fitted","HC3","cross_fitted","informative",FALSE,500,500,0.012429655026317,0.35373578621685,0.399103835592488,0.944,0.0102824121683582,0.056,0.0102824121683582,0,14.03,0.584583333333333,0.717919971857261
"informative_coverage_cross_fitted","classical","cross_fitted","informative",FALSE,500,500,0.012429655026317,0.35373578621685,0.347234891219063,0.952,0.00955991631762538,0.048,0.00955991631762538,0,14.03,0.584583333333333,0.717919971857261
"informative_coverage_cross_fitted","wild_bootstrap","cross_fitted","informative",FALSE,500,500,0.012429655026317,0.35373578621685,0.399103835592488,0.944,0.0102824121683582,0.054,0.0101078187557949,0,14.03,0.584583333333333,0.717919971857261
"informative_coverage_fixed","HC3","fixed","informative",FALSE,500,500,0.0738939696562327,0.5842609310871,0.55458518798568,0.958,0.00897061870775924,0.042,0.00897061870775924,0,13.62,0.5675,0.654696158293894
"informative_coverage_fixed","classical","fixed","informative",FALSE,500,500,0.0738939696562327,0.5842609310871,0.42752348976157,0.914,0.0125382614424808,0.086,0.0125382614424808,0,13.62,0.5675,0.654696158293894
"informative_coverage_fixed","wild_bootstrap","fixed","informative",FALSE,500,500,0.0738939696562327,0.5842609310871,0.55458518798568,0.946,0.0101078187557949,0.052,0.00992935043192655,0,13.62,0.5675,0.654696158293894
"unequal_transport_quality_cross_fitted","HC3","cross_fitted","complete",TRUE,500,500,0.0127559362705235,0.289095838236041,0.303727801486459,0.95,0.00974679434480897,0.05,0.00974679434480896,0,24,1,0.747844327972741
"unequal_transport_quality_cross_fitted","classical","cross_fitted","complete",TRUE,500,500,0.0127559362705235,0.289095838236041,0.285873071900544,0.96,0.00876356092008266,0.04,0.00876356092008266,0,24,1,0.747844327972741
"unequal_transport_quality_cross_fitted","wild_bootstrap","cross_fitted","complete",TRUE,500,500,0.0127559362705235,0.289095838236041,0.303727801486459,0.952,0.00955991631762538,0.046,0.00936845771725528,0,24,1,0.747844327972741
"unequal_transport_quality_fixed","HC3","fixed","complete",TRUE,500,500,-0.0230593301775772,0.380744898943926,0.369139757046139,0.932,0.0112584190719657,0.068,0.0112584190719657,0,24,1,0.766075126432988
"unequal_transport_quality_fixed","classical","fixed","complete",TRUE,500,500,-0.0230593301775772,0.380744898943926,0.288508645609175,0.884,0.0143208938268531,0.116,0.0143208938268531,0,24,1,0.766075126432988
"unequal_transport_quality_fixed","wild_bootstrap","fixed","complete",TRUE,500,500,-0.0230593301775772,0.380744898943926,0.369139757046139,0.944,0.0102824121683582,0.054,0.0101078187557949,0,24,1,0.766075126432988
