"component","component_label","node","query","term","estimate","se","lower","upper","sign","units","visual_magnitude","scale","n","fraction","n_eff","subject_set_id","gap"
"total","Total","group1","primary","(Intercept)",0.105292613752297,0.00824059648570972,0.0882456411177408,0.122339586386853,"positive","signed transported evidence coefficient",0.0634744408202016,NA,24,1,24,"set1",FALSE
"total","Total","group2","primary","(Intercept)",0.402126642624176,0.0314719454663243,0.337021963120571,0.467231322127781,"positive","signed transported evidence coefficient",0.242417420081547,NA,24,1,24,"set1",FALSE
"total","Total","group3","primary","(Intercept)",0.0105077203818225,0.000822373769303243,0.00880651062534431,0.0122089301383006,"positive","signed transported evidence coefficient",0.00633445834197147,NA,24,1,24,"set1",FALSE
"total","Total","group4","primary","(Intercept)",0.849416695734351,0.0664785495233181,0.71189533833332,0.986938053135383,"positive","signed transported evidence coefficient",0.512061082574325,NA,24,1,24,"set1",FALSE
"total","Total","group5","primary","(Intercept)",0.0445689489428726,0.00348813379155384,0.0373531944288149,0.0517847034569303,"positive","signed transported evidence coefficient",0.0268678781091731,NA,24,1,24,"set1",FALSE
"total","Total","group6","primary","(Intercept)",1.42767686413718,0.1117353680384,1.19653464469157,1.65881908358279,"positive","signed transported evidence coefficient",0.860658572273971,NA,24,1,24,"set1",FALSE
"total","Total","group7","primary","(Intercept)",0.138016666666667,0.010801704106029,0.115671639262235,0.160361694071098,"positive","signed transported evidence coefficient",0.0832017596328664,NA,24,1,24,"set1",FALSE
"total","Total","group8","primary","(Intercept)",1.42767686413718,0.1117353680384,1.19653464469157,1.65881908358279,"positive","signed transported evidence coefficient",0.860658572273971,NA,24,1,24,"set1",FALSE
"total","Total","group9","primary","(Intercept)",0.0445689489428726,0.00348813379155384,0.0373531944288149,0.0517847034569303,"positive","signed transported evidence coefficient",0.0268678781091731,NA,24,1,24,"set1",FALSE
"total","Total","group10","primary","(Intercept)",0.849416695734351,0.0664785495233181,0.71189533833332,0.986938053135383,"positive","signed transported evidence coefficient",0.512061082574325,NA,24,1,24,"set1",FALSE
"total","Total","group11","primary","(Intercept)",0.0105077203818225,0.000822373769303243,0.00880651062534431,0.0122089301383006,"positive","signed transported evidence coefficient",0.00633445834197147,NA,24,1,24,"set1",FALSE
"total","Total","group12","primary","(Intercept)",0.402126642624176,0.0314719454663243,0.337021963120571,0.467231322127781,"positive","signed transported evidence coefficient",0.242417420081547,NA,24,1,24,"set1",FALSE
"total","Total","group13","primary","(Intercept)",0.105292613752297,0.00824059648570972,0.0882456411177408,0.122339586386853,"positive","signed transported evidence coefficient",0.0634744408202016,NA,24,1,24,"set1",FALSE
"total","Total","group14","primary","(Intercept)",0.200709925171068,0.0157083146202712,0.168214800584988,0.233205049757149,"positive","signed transported evidence coefficient",0.120995669242945,NA,24,1,24,"set1",FALSE
"total","Total","group15","primary","(Intercept)",0.359340687852977,0.0281233555134267,0.301163094439606,0.417518281266348,"positive","signed transported evidence coefficient",0.216624399495609,NA,24,1,24,"set1",FALSE
