"dataset_id","subject","partitions","conditions","real_data"
"synthetic-prospective-rehearsal-v1","s01",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s02",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s03",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s04",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s05",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s06",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s07",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s08",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s09",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s10",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s11",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s12",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s13",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s14",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s15",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s16",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s17",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s18",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s19",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s20",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s21",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s22",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s23",4,3,FALSE
"synthetic-prospective-rehearsal-v1","s24",4,3,FALSE
