"component","node","query","estimate","evidence_state","real_data_claim"
"total","group1","primary",0.105292613752297,"synthetic_rehearsal",FALSE
"total","group2","primary",0.402126642624176,"synthetic_rehearsal",FALSE
"total","group3","primary",0.0105077203818225,"synthetic_rehearsal",FALSE
"total","group4","primary",0.849416695734351,"synthetic_rehearsal",FALSE
"total","group5","primary",0.0445689489428726,"synthetic_rehearsal",FALSE
"total","group6","primary",1.42767686413718,"synthetic_rehearsal",FALSE
"total","group7","primary",0.138016666666667,"synthetic_rehearsal",FALSE
"total","group8","primary",1.42767686413718,"synthetic_rehearsal",FALSE
"total","group9","primary",0.0445689489428726,"synthetic_rehearsal",FALSE
"total","group10","primary",0.849416695734351,"synthetic_rehearsal",FALSE
"total","group11","primary",0.0105077203818225,"synthetic_rehearsal",FALSE
"total","group12","primary",0.402126642624176,"synthetic_rehearsal",FALSE
"total","group13","primary",0.105292613752297,"synthetic_rehearsal",FALSE
"total","group14","primary",0.200709925171068,"synthetic_rehearsal",FALSE
"total","group15","primary",0.359340687852977,"synthetic_rehearsal",FALSE
"total","group16","primary",0.374675873038162,"synthetic_rehearsal",FALSE
"total","group17","primary",0.533306635720071,"synthetic_rehearsal",FALSE
"total","group18","primary",0.538258741158168,"synthetic_rehearsal",FALSE
"total","group19","primary",0.623377305374503,"synthetic_rehearsal",FALSE
"total","group20","primary",0.557857301182162,"synthetic_rehearsal",FALSE
"total","group21","primary",0.623377305374503,"synthetic_rehearsal",FALSE
"total","group22","primary",0.538258741158168,"synthetic_rehearsal",FALSE
"total","group23","primary",0.533306635720071,"synthetic_rehearsal",FALSE
"total","group24","primary",0.374675873038162,"synthetic_rehearsal",FALSE
"total","group25","primary",0.359340687852977,"synthetic_rehearsal",FALSE
"total","group26","primary",0.200709925171068,"synthetic_rehearsal",FALSE
"total","group27","primary",0.360767838045332,"synthetic_rehearsal",FALSE
"total","group28","primary",0.431552562689861,"synthetic_rehearsal",FALSE
"total","group29","primary",0.4325078099973,"synthetic_rehearsal",FALSE
"total","group30","primary",0.472720474259717,"synthetic_rehearsal",FALSE
"total","group31","primary",0.484419653565528,"synthetic_rehearsal",FALSE
"total","group32","primary",0.484419653565528,"synthetic_rehearsal",FALSE
"total","group33","primary",0.484419653565528,"synthetic_rehearsal",FALSE
