"node","query","coverage_policy","subject_set_id","planned_n","n","coverage_fraction","mass_n_eff","mean_sink_territory","mean_transport_quality"
"group1","primary","all_planned","set1",24,24,1,24,0,1
"group2","primary","all_planned","set1",24,24,1,24,0,1
"group3","primary","all_planned","set1",24,24,1,24,0,1
"group4","primary","all_planned","set1",24,24,1,24,0,1
"group5","primary","all_planned","set1",24,24,1,24,0,1
"group6","primary","all_planned","set1",24,24,1,24,0,1
"group7","primary","all_planned","set1",24,24,1,24,0,1
"group8","primary","all_planned","set1",24,24,1,24,0,1
"group9","primary","all_planned","set1",24,24,1,24,0,1
"group10","primary","all_planned","set1",24,24,1,24,0,1
"group11","primary","all_planned","set1",24,24,1,24,0,1
"group12","primary","all_planned","set1",24,24,1,24,0,1
"group13","primary","all_planned","set1",24,24,1,24,0,1
"group14","primary","all_planned","set1",24,24,1,24,0,1
"group15","primary","all_planned","set1",24,24,1,24,0,1
"group16","primary","all_planned","set1",24,24,1,24,0,1
"group17","primary","all_planned","set1",24,24,1,24,0,1
"group18","primary","all_planned","set1",24,24,1,24,0,1
"group19","primary","all_planned","set1",24,24,1,24,0,1
"group20","primary","all_planned","set1",24,24,1,24,0,1
"group21","primary","all_planned","set1",24,24,1,24,0,1
"group22","primary","all_planned","set1",24,24,1,24,0,1
"group23","primary","all_planned","set1",24,24,1,24,0,1
"group24","primary","all_planned","set1",24,24,1,24,0,1
"group25","primary","all_planned","set1",24,24,1,24,0,1
"group26","primary","all_planned","set1",24,24,1,24,0,1
"group27","primary","all_planned","set1",24,24,1,24,0,1
"group28","primary","all_planned","set1",24,24,1,24,0,1
"group29","primary","all_planned","set1",24,24,1,24,0,1
"group30","primary","all_planned","set1",24,24,1,24,0,1
"group31","primary","all_planned","set1",24,24,1,24,0,1
"group32","primary","all_planned","set1",24,24,1,24,0,1
"group33","primary","all_planned","set1",24,24,1,24,0,1
"group34","primary","all_planned","set1",24,24,1,24,0,1
"group35","primary","all_planned","set1",24,24,1,24,0,1
"group36","primary","all_planned","set1",24,24,1,24,0,1
"group37","primary","all_planned","set1",24,24,1,24,0,1
"group38","primary","all_planned","set1",24,24,1,24,0,1
"group39","primary","all_planned","set1",24,24,1,24,0,1
"group40","primary","all_planned","set1",24,24,1,24,0,1
"group41","primary","all_planned","set1",24,24,1,24,0,1
"group42","primary","all_planned","set1",24,24,1,24,0,1
"group43","primary","all_planned","set1",24,24,1,24,0,1
"group44","primary","all_planned","set1",24,24,1,24,0,1
"group45","primary","all_planned","set1",24,24,1,24,0,1
"group46","primary","all_planned","set1",24,24,1,24,0,1
"group47","primary","all_planned","set1",24,24,1,24,0,1
"group48","primary","all_planned","set1",24,24,1,24,0,1
"group49","primary","all_planned","set1",24,24,1,24,0,1
"group50","primary","all_planned","set1",24,24,1,24,0,1
"group51","primary","all_planned","set1",24,24,1,24,0,1
"group52","primary","all_planned","set1",24,24,1,24,0,1
"<sink>","primary","all_planned","set1",24,24,1,NA,0,1
